trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
170,False,"{'a': 0.75, 'e': 3.460207612456748e-05}",30,19,18.476111588021197,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.75, 'e': 3.419855682090216e-05}",30,12,32.67773929473917,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.75, 'e': 3.380205516495403e-05}",20,6,20.573416780656327,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.75, 'e': 3.3412409368839586e-05}",20,10,12.888789277412204,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.75, 'e': 3.302946228035408e-05}",30,19,17.781871500810546,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.75, 'e': 3.265306122448979e-05}",30,8,35.459113346812934,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.75, 'e': 3.228305785123967e-05}",30,17,25.726025063896095,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.75, 'e': 3.191930798940279e-05}",20,13,10.452778191582675,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.75, 'e': 3.156167150612296e-05}",25,17,15.533760074089384,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.75, 'e': 3.121001217190475e-05}",20,6,22.09981178736477,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.75, 'e': 3.08641975308642e-05}",25,14,19.68173076838992,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.75, 'e': 3.0524098775983637e-05}",20,5,22.770044312798763,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
